ba	va	ba:va
be	ve	be:ve
bi	vi	bi:vi
bo	vo	bo:vo
bu	vu	bu:vu
ca	ka	ca:ka
ce	se	ce:se
ce	ze	ce:ze
ci	si	ci:si
ci	zi	ci:zi
co	ko	co:ko
cu	ku	cu:ku
ge	je	ge:je
ge	gue	g_e:gue
gue	ge	gue:g_e
gi	ji	gi:ji
gi	gui	g_i:gui
gui	gi	gui:g_i
je	ge	je:ge
ji	gi	ji:gi
ka	ca	ka:ca
ke	que	k_e:que
ki	qui	k_i:qui
ko	co	ko:co
ku	cu	ku:cu
que	qe	que:q_e
que	ke	que:k_e
qui	qi	qui:q_i
qui	ki	qui:k_i
lla	ya	lla:y_a
lle	ye	lle:y_e
lli	yi	lli:y_i
llo	yo	llo:y_o
llu	yu	llu:y_u
ra	rra	r_a:rra
rra	ra	rra:r_a
re	rre	r_e:rre
rre	re	rre:r_e
ri	rri	r_i:rri
rri	ri	rri:r_i
ro	rro	r_o:rro
rro	ro	rro:r_o
ru	rru	r_u:rru
rru	ru	rru:r_u
sa	za	sa:za
se	ce	se:ce
se	ze	se:ze
si	ci	si:ci
si	zi	si:zi
so	zo	so:zo
su	zu	su:zu
va	ba	va:ba
ve	be	ve:be
vi	bi	vi:bi
vo	bo	vo:bo
vu	bu	vu:bu
ya	lla	y_a:lla
ye	lle	y_e:lle
yi	lli	y_i:lli
yo	llo	y_o:llo
yu	llu	y_u:llu
za	sa	za:sa
ze	ce	ze:ce
ze	se	ze:se
zi	ci	zi:ci
zi	si	zi:si
zo	so	zo:so
zu	su	zu:su
